ep_returns,ep_lens
133.7360053402306,553.8461538461538
123.234320940456,553.8461538461538
98.60394278848982,480.0
110.81576477391869,553.8461538461538
152.7971941423044,600.0
85.71540096081307,450.0
141.39990630051238,600.0
115.79632519156867,514.2857142857143
125.20835179092892,600.0
151.10683162278562,600.0
125.86207380761317,553.8461538461538
120.19750494879408,514.2857142857143
113.03398445223665,514.2857142857143
139.1169608217277,553.8461538461538
109.66101347195095,514.2857142857143
150.02884339968367,600.0
147.49212294579246,600.0
133.7958870250209,600.0
121.24565847949331,553.8461538461538
121.7235319223684,553.8461538461538
157.22363952572317,553.8461538461538
129.19864186171975,553.8461538461538
150.0967367935676,600.0
119.75590050890929,480.0
88.40080586498695,450.0
127.70540410454859,553.8461538461538
123.35487765290166,553.8461538461538
104.57338066312171,514.2857142857143
133.3455713436336,600.0
139.8175474164399,600.0
141.0901923992454,600.0
123.53539195411835,553.8461538461538
127.51154657107581,600.0
150.48115594762106,600.0
155.91231114403786,600.0
130.62220724598305,600.0
121.2258691436716,600.0
146.5547880292744,600.0
147.7014328766172,600.0
142.06561669262464,600.0
156.89504574792826,600.0
157.5071379474462,600.0
114.3155649380807,600.0
157.79125206907688,600.0
147.87182884880897,600.0
148.07271788453198,600.0
123.73760792790306,553.8461538461538
146.93031093907538,600.0
143.65166993140036,600.0
163.1239781724281,600.0
138.50084086153709,600.0
144.0913145363622,600.0
135.16994900159526,553.8461538461538
160.9830169061125,600.0
134.4526828517262,600.0
137.05299556170897,553.8461538461538
139.09096067086472,553.8461538461538
166.29244527014404,600.0
149.41645044727343,600.0
123.76619269472184,553.8461538461538
128.48722703331114,600.0
142.35524839283008,600.0
145.7644212005942,553.8461538461538
154.02504522153507,600.0
130.0688323697464,600.0
108.65659156187567,514.2857142857143
146.50352978347138,600.0
142.45520203359234,600.0
150.86174710202167,600.0
152.1336035878559,600.0
110.01223153608215,514.2857142857143
142.7687637132832,600.0
146.56578431185565,600.0
147.649224643183,600.0
129.13475766959547,600.0
154.88668554133957,600.0
166.00696938459933,600.0
156.54906613697813,600.0
144.05795101946904,553.8461538461538
154.6299913030102,600.0
161.1357202541067,600.0
117.84908905855424,514.2857142857143
172.05045571490226,600.0
155.05443498266115,600.0
137.66538019580634,600.0
103.00867542990495,480.0
130.0472685635896,553.8461538461538
121.8485591936919,553.8461538461538
163.34395659932807,600.0
156.85429757348058,553.8461538461538
162.5869352531359,553.8461538461538
154.92232153433636,600.0
161.31196743173936,600.0
182.83996611197915,600.0
154.32806935081715,553.8461538461538
174.9443240928107,600.0
134.1568505838217,514.2857142857143
153.43278413115536,553.8461538461538
149.28987426842804,600.0
126.25438351382911,514.2857142857143
136.6727561787074,514.2857142857143
141.19798170723033,553.8461538461538
164.44024767549453,600.0
166.49286432174742,600.0
154.1828576852902,553.8461538461538
163.44849067438426,600.0
167.07908521892028,600.0
171.96040568817173,600.0
145.9133549616387,553.8461538461538
159.0822691542916,600.0
163.25202429642675,600.0
162.23341228460745,600.0
150.8620911611324,600.0
169.15559421948066,600.0
167.99496425996594,600.0
148.4007666625083,600.0
159.3239883800418,600.0
175.13669261181903,600.0
167.7503194292929,600.0
141.2133158032547,600.0
127.57446428019547,514.2857142857143
158.34088532663569,600.0
151.75839606871716,600.0
148.70574918080146,600.0
149.26332318460274,600.0
150.18541579455368,600.0
146.1732620252414,600.0
142.61350099526,600.0
121.47202260687028,514.2857142857143
158.2367427411846,553.8461538461538
139.11257599061926,553.8461538461538
120.37476378582235,553.8461538461538
150.20617433114705,600.0
125.46552282204168,553.8461538461538
159.748017699148,600.0
150.29274810971438,600.0
136.8391642509885,600.0
157.48747019502284,600.0
159.98993335189047,600.0
138.12885107684727,600.0
159.77116346653315,600.0
138.58111221801906,600.0
171.0164633144069,600.0
152.9556409276431,600.0
166.99512644801078,600.0
123.85019624163967,600.0
143.02671092659585,553.8461538461538
147.63426413736076,600.0
154.4154052700012,600.0
155.37315728683535,600.0
128.60546791676936,600.0
138.51314180645588,553.8461538461538
110.3463529076733,514.2857142857143
156.23683430909173,600.0
170.23041211153932,600.0
131.73007521517127,553.8461538461538
113.16038940316427,480.0
121.08153223396968,553.8461538461538
118.85348494852512,514.2857142857143
132.96427152645919,553.8461538461538
104.52887190771904,450.0
138.2164768625778,514.2857142857143
138.5807161640365,553.8461538461538
172.447763230766,600.0
149.7484138653928,600.0
108.12066308222843,480.0
113.45288104266635,423.52941176470586
137.09260541263728,514.2857142857143
127.89694230463995,514.2857142857143
110.67049367175039,480.0
102.14295082136071,514.2857142857143
147.31020632276284,553.8461538461538
114.75095463446905,450.0
138.21268798848502,514.2857142857143
126.4102760246989,514.2857142857143
146.7103940947909,553.8461538461538
144.19830373274647,553.8461538461538
120.66519606146949,514.2857142857143
178.23347917969406,600.0
142.35139510732287,600.0
121.65689743140142,514.2857142857143
134.03767090132172,600.0
133.60443345897872,514.2857142857143
131.9840898630507,480.0
132.1040401810919,514.2857142857143
137.44886360225883,553.8461538461538
134.76516766055775,514.2857142857143
137.20972603994244,553.8461538461538
97.53541788361309,423.52941176470586
134.42185565889744,553.8461538461538
133.60751532614802,514.2857142857143
119.61758148097223,480.0
106.06908787413836,450.0
183.38823526867915,600.0
131.2867927772075,514.2857142857143
139.16704736271456,514.2857142857143
166.90691713746074,600.0
114.18889764181353,450.0
132.93733957535613,514.2857142857143
122.35086304983902,480.0
101.4453164135476,450.0
112.97518452444656,450.0
123.39337323670402,480.0
144.35636910223664,553.8461538461538
131.84050307403277,553.8461538461538
124.31558844316058,480.0
139.68684323305985,600.0
157.672908761576,600.0
104.51593053006209,450.0
122.87859821445113,480.0
156.46190984979947,600.0
120.54263447806912,480.0
132.3020173188891,514.2857142857143
152.70219503377825,600.0
141.3845141854567,553.8461538461538
147.3476982329747,553.8461538461538
127.86320099296617,480.0
131.52722299593208,553.8461538461538
128.81861960646685,514.2857142857143
86.76194919129546,423.52941176470586
148.08085579704263,600.0
123.56623684636591,480.0
102.54336287123255,450.0
152.59753393250583,600.0
130.98939830509167,514.2857142857143
143.2099292611294,514.2857142857143
100.47398800407018,423.52941176470586
103.5850556017227,480.0
126.35171144667603,514.2857142857143
98.78431337279653,450.0
120.65837380150336,514.2857142857143
126.45575925370488,514.2857142857143
131.98675855992772,514.2857142857143
109.91594732089895,480.0
88.30650129893677,378.94736842105266
124.79317524091934,514.2857142857143
118.10305585407671,480.0
127.59229977171806,514.2857142857143
114.33419867939762,450.0
138.96262268409933,553.8461538461538
125.36126202647516,514.2857142857143
114.33577201067695,450.0
111.72261138996528,450.0
136.46371730210402,514.2857142857143
128.54521712561973,514.2857142857143
138.42564102853754,514.2857142857143
115.98542182234819,480.0
149.93635073605142,600.0
130.44932010057113,514.2857142857143
128.12302565861822,480.0
103.39740791717891,480.0
92.10450810903716,450.0
90.68177373572476,450.0
99.42715323764658,480.0
151.01039678695477,600.0
109.79141114274739,514.2857142857143
99.78168268199175,450.0
102.60050170517715,480.0
116.7063127956243,514.2857142857143
